,Word,Definitions
3123,fragrant,NO DEFINITION FOUND
3124,conspiracy,a secret agreement between two or more people to perform an unlawful act
3125,crevice,a long narrow depression in a surface
3126,favorable,NO DEFINITION FOUND
3127,thread,a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
3128,offset,the time at which something is supposed to begin
3129,rotten,NO DEFINITION FOUND
3130,shape,any spatial attributes (especially as defined by outline)
3131,relate,NO DEFINITION FOUND
3132,scheme,an elaborate and systematic plan of action
3133,achieve,NO DEFINITION FOUND
3134,attack,(military) an offensive against an enemy (using weapons)
3135,win,a victory (as in a race or other competition)
3136,install,NO DEFINITION FOUND
3137,catalogue,a complete list of things; usually arranged systematically
3138,glance,a quick look
3139,know,the fact of being aware of information that is known to few people
3140,arise,NO DEFINITION FOUND
3141,fluctuation,a wave motion
3142,random,NO DEFINITION FOUND
3143,total,the whole amount
3144,formulate,NO DEFINITION FOUND
3145,kid,a young person of either sex
3146,behead,NO DEFINITION FOUND
3147,harvest,the yield from plants in a single growing season
3148,frequency,the number of occurrences within a given time period
3149,designer,a person who specializes in designing architectural interiors and their furnishings
3150,provide,NO DEFINITION FOUND
3151,projection,a prediction made by extrapolating from past observations
3152,preparation,the activity of putting or setting in order in advance of some act or purpose
3153,discount,the act of reducing the selling price of merchandise
3154,capital,assets available for use in the production of further assets
3155,ideal,the idea of something that is perfect; something that one hopes to attain
3156,employ,the state of being employed or having a job
3157,secure,NO DEFINITION FOUND
3158,rub,an unforeseen obstacle
3159,reaction,(chemistry) a process in which one or more substances are changed into others
3160,frozen,NO DEFINITION FOUND
3161,orchestra,a musical organization consisting of a group of instrumentalists including string players
3162,transparent,NO DEFINITION FOUND
3163,percent,a proportion in relation to a whole (which is usually the amount per hundred)
3164,undress,partial or complete nakedness
3165,fling,a usually brief attempt
3166,order,"(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed"
3167,pasture,a field covered with grass or herbage and suitable for grazing by livestock
3168,initiative,readiness to embark on bold new ventures
3169,rebel,`Johnny' was applied as a nickname for Confederate soldiers by the Federal soldiers in the American Civil War; `greyback' derived from their grey Confederate uniforms
3170,painter,an artist who paints
3171,exact,NO DEFINITION FOUND
3172,tolerant,NO DEFINITION FOUND
3173,whole,all of something including all its component elements or parts
3174,marble,a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
3175,need,a condition requiring relief
3176,suburb,a residential district located on the outskirts of a city
3177,hunter,someone who hunts game
3178,square,(geometry) a plane rectangle with four equal sides and four right angles; a four-sided regular polygon
3179,declaration,a statement that is emphatic and explicit (spoken or written)
3180,rich,people who have possessions and wealth (considered as a group)
3181,genetic,NO DEFINITION FOUND
3182,have,a person who possesses great material wealth
3183,short,the location on a baseball field where the shortstop is stationed
3184,surface,the outer boundary of an artifact or a material layer constituting or resembling such a boundary
3185,officer,any person in the armed services who holds a position of authority or command
3186,stress,the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
3187,simplicity,the quality of being simple or uncompounded
3188,costume,the attire worn in a play or at a fancy dress ball
3189,locate,NO DEFINITION FOUND
3190,manual,a small handbook
3191,amber,a deep yellow color
3192,throat,the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
3193,sentiment,"tender, romantic, or nostalgic feeling or emotion"
3194,border,a line that indicates a boundary
3195,rhythm,the basic rhythmic unit in a piece of music
3196,eye,the organ of sight
3197,insert,a folded section placed between the leaves of another publication
3198,epicalyx,a group of bracts simulating a calyx as in a carnation or hibiscus
3199,freedom,the condition of being free; the power to act or speak or think without externally imposed restraints
3200,instinct,inborn pattern of behavior often responsive to specific stimuli
3201,refund,money returned to a payer
3202,miner,laborer who works in a mine
3203,casualty,someone injured or killed or captured or missing in a military engagement
3204,grave,death of a person
3205,attachment,a feeling of affection for a person or an institution
3206,account,a record or narrative description of past events
3207,dragon,a creature of Teutonic mythology; usually represented as breathing fire and having a reptilian body and sometimes wings
3208,volunteer,(military) a person who freely enlists for service
3209,bare,NO DEFINITION FOUND
3210,computer,a machine for performing calculations automatically
3211,weave,pattern of weaving or structure of a fabric
3212,hard,NO DEFINITION FOUND
3213,attention,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others
3214,witch,a female sorcerer or magician
3215,reservoir,a large or extra supply of something
3216,gaspedal,NO DEFINITION FOUND
3217,institution,an organization founded and united for a specific purpose
3218,functional,NO DEFINITION FOUND
3219,hypothesize,NO DEFINITION FOUND
3220,harmful,NO DEFINITION FOUND
3221,horseshoe,game equipment consisting of an open ring of iron used in playing horseshoes
